Country Name;Country Code;GDP PPP;Gini;Surf;toursim_export_share;visiting_tourists;outbound_tourists
Luxembourg;LUX;114542.4969;33.4;2574.46;4.044890291;1041000;2548000
Macao SAR, China;MAC;122822.1245;;32.9;90.36223241;39406000;1765000
Madagascar;MDG;1585.471651;42.6;581800;23.29981718;486000;
Malawi;MWI;1517.703169;38.5;94280;4.285671282;871000;
Malaysia;MYS;27674.40162;41.2;328550;9.313598926;26101000;30532000
Maldives;MDV;20574.40443;29.3;300;84.73792624;1703000;42000
Mali;MLI;2219.046743;36.1;1220190;5.5180896;217000;
Malta;MLT;45425.80693;31.4;320;20.43348525;3519000;774000
Marshall Islands;MHL;5647.066917;35.5;180;15.59304199;6099.999905;
Mauritania;MRT;5505.646331;32.6;1030700;0.542632176;30000;
Mauritius;MUS;23681.58045;36.8;2030;38.49239585;1418000;320000
Mexico;MEX;20064.5005;45.4;1943950;5.246452379;97406000;82752000
Micronesia, Fed. Sts.;FSM;3540.78241;40.1;700;;18000;
Moldova;MDA;13030.18304;25.7;32885.9;14.39108244;174000;311000
Monaco;MCO;;;2.027;;363000;
Mongolia;MNG;12458.01843;32.7;1557258;7.18904943;637000;
Montenegro;MNE;21533.96377;36.8;13450;52.63670918;2510000;
Morocco;MAR;8217.598633;39.5;446300;;;
Morocco;ESH;8217.598633;39.5;446300;22.58673323;13109000;2009000
Mozambique;MOZ;1285.184822;54;786380;5.785755954;2033000;
Myanmar;MMR;4829.536707;30.7;652700;14.27235894;4364000;
Namibia;NAM;10009.57807;59.1;823290;9.844574838;1651000;
Nauru;NRU;12000.61152;32.4;20;5.144511542;;
Nepal;NPL;3922.081331;32.8;143350;29.38127199;1197000;1197000
Netherlands;NLD;56784.03725;26;33670;3.15802843;20129000;22045000
Netherlands;BES;56784.03725;26;33670;;;
New Caledonia;NCL;;;18280;13.22556049;130000;144000
New Zealand;NZL;43110.37124;;263310;18.83041921;3888000;3225000
New Zealand;COK;43110.37124;;263310;;;
New Zealand;NIU;43110.37124;;263310;;;
Nicaragua;NIC;5348.987315;46.2;120340;;1455000;949000
Niger;NER;1217.445986;37.3;1266700;9.375080561;192000;
Nigeria;NGA;5076.36829;35.1;910770;2.103630753;5265000;
North Macedonia;MKD;16773.08172;33.5;25220;5.140791077;758000;
Northern Mariana Islands;MNP;;;460;;487000;
Norway;NOR;64385.00599;27.7;365094;4.812682179;5879000;8890000
Oman;OMN;33814.11162;;309500;7.060010973;3506000;6633000
Pakistan;PAK;5157.546572;29.6;770880;3.234415221;966000;
Palau;PLW;17605.48026;;460;92.86032448;94000;
Panama;PAN;31543.60606;50.9;74180;24.63809871;2494000;1226000
Papua New Guinea;PNG;3947.86549;;452860;0.039916738;211000;52000
Paraguay;PRY;13609.72301;42.9;397300;3.081600861;4368000;1192000
Peru;PER;12735.16828;40.2;1280000;8.601569444;5275000;3275000
Philippines;PHL;8731.860869;40.7;298170;12.09086478;8261000;5703000
Poland;POL;33159.74903;28.8;306110;4.747774481;88515000;50600000
Portugal;PRT;34945.66151;34.7;91605.6;23.45542178;17283000;3100000
Puerto Rico;PRI;34792.65549;;8870;;4931000;792000
Qatar;QAT;90840.42907;;11490;16.99908073;2136500;
Romania;ROU;30000.97783;34.6;230080;4.202126458;12815000;23066000
Russian Federation;RUS;27254.57422;36;16376870;3.578054772;24419000;45330000
Rwanda;RWA;2191.401609;43.7;24670;28.20362484;1634000;
Samoa;WSM;6346.146335;38.7;2780;61.19693516;181000;69000
San Marino;SMR;60076.01134;;60;;1904000;
Sao Tome and Principe;STP;4013.721897;40.7;960;73.19355971;33400.00153;
Saudi Arabia;SAU;44954.99119;;2149690;6.94361064;20292000;27196000
Senegal;SEN;3430.483882;38.1;192530;10.53519996;1376000;
Serbia;SRB;18306.8119;35;87460;7.654856269;1847000;
Seychelles;SYC;29369.52873;32.1;460;29.64518066;428000;76000
Sierra Leone;SLE;1655.68517;35.7;72180;4.045863137;71000;122000
Singapore;SGP;98283.30891;;716;3.066715429;19116000;10711000
Sint Maarten (Dutch part);SXM;;;34;64.91044242;1952000;
Slovak Republic;SVK;31973.46163;23.2;48080;3.458646542;15299000;5214000
Slovenia;SVN;39034.23325;24;20136.4;7.366874242;4702000;6049000
Solomon Islands;SLB;2616.863043;37.1;27990;13.86792322;28899.99962;
Somalia;SOM;1138.285937;;627340;;;
South Africa;ZAF;13852.20597;63;1213090;8.551907807;14797000;
South Sudan;SSD;;44.1;631930;0.387776008;;
Spain;ESP;40760.30896;34.9;499570.036;;126170000;22816000
Sri Lanka;LKA;13639.02189;37.7;61864.47;24.01835009;2027000;1441000
St. Kitts and Nevis;KNA;31194.73719;;260;61.38528;1107000;
St. Lucia;LCA;15460.80076;51.2;610;88.77486525;1220000;
St. Martin (French part);MAF;;;50;;;
St. Vincent and the Grenadines;VCT;14189.96035;;390;77.86021141;392000;
Sudan;SDN;4133.130371;34.2;1868000;20.87792437;836000;
Suriname;SUR;18449.19921;;156000;2.798731789;279000;
Sweden;SWE;52850.56918;28.9;407283.59;4.299293655;7616000;19061000
Switzerland;CHE;70857.08908;33.1;39516.03;4.442379576;11818000;19797000
Syrian Arab Republic;SYR;;;183630;;2424000;3863000
Taiwan;TWN;50150.27971;33.7;35980;;;
Tajikistan;TJK;3575.279713;34;138790;14.40295948;1035000;31000
Tanzania;TZA;2577.665771;40.5;885800;27.17274071;1527000;
Thailand;THA;18003.67145;35.1;510890;19.87505626;39916000;10446000
Timor-Leste;TLS;3737.796428;28.7;14870;64.00151534;74800.00305;
Togo;TGO;2080.524243;42.4;54390;15.85455304;876000;269000
Tonga;TON;6344.311474;33.5;720;50.76375863;94000;
Trinidad and Tobago;TTO;25306.61796;;5130;5.028323815;480000;
Tunisia;TUN;11100.82029;32.8;155360;13.99231636;9429000;2781000
Turkiye;TUR;28150.05895;41.9;769630;16.90815339;51747000;9651000
Turkmenistan;TKM;14992.60396;;469930;;;78000
Turks and Caicos Islands;TCA;25933.51121;;950;;1599000;
Tuvalu;TUV;4816.55321;39.1;30;43.44254018;3599.999905;2900.000095
Uganda;UGA;2250.014922;42.7;200520;22.68391954;1543000;568000
Ukraine;UKR;12804.95508;25.6;579400;4.083013406;13710000;29346000
United Arab Emirates;ARE;71782.15384;26;71020;;25282000;18906000
United Kingdom;GBR;47362.26461;32.6;241930;;40857000;93086000
United Kingdom;GGY;47362.26461;32.6;241930;;;
United Kingdom;JEY;47362.26461;32.6;241930;;;
United Kingdom;MSR;47362.26461;32.6;241930;;;
United Kingdom;AIA;47362.26461;32.6;241930;;;
United States;USA;62478.25395;39.7;9147420;9.403796912;165478000;170930093.8
Uruguay;URY;23256.59787;40.8;175020;13.66557965;3480000;2199000
Uzbekistan;UZB;7348.146883;;440555;9.880284328;6749000;8437000
Vanuatu;VUT;3070.350828;32.3;12190;79.14988103;256000;36400.00153
Venezuela, RB;VEN;;;882050;1.903500209;429000;1079000
Vietnam;VNM;10252.00462;36.8;313429;4.21257291;18009000;
Virgin Islands (U.S.);VIR;;;350;;2074000;
West Bank and Gaza;PSE;6245.448697;33.7;6020;9.430331024;688000;
Yemen, Rep.;YEM;;36.7;527970;12.36056299;398000;
Zambia;ZMB;3372.35898;57.1;743390;;1266000;
Zimbabwe;ZWE;2203.39681;50.3;386850;5.41111481;2294000;3275000
